Specie  Phylum  Class   Order   Family  Genus
Cryptosula_pallasiana   Bryozoa Gymnolaemata    Cheilostomatida Cryptosulidae   Cryptosula
Echinorhynchus_gadi     Acanthocephala  Palaeacanthocephala     Echinorhynchida Echinorhynchidae        Echinorhynchus
Gordius_albopunctatus   Nematomorpha    Gordioida       Gordea  Gordiidae       Gordius
Owenia_fusiformis       Annelida        Polychaeta      Sabellida       Oweniidae       Owenia
Helobdella_robusta      Annelida        Clitellata      Rhynchobdellida Glossiphoniidae Helobdella
Sipunculus_nudus        Annelida        Sipuncula       Golfingiida     Sipunculidae    Sipunculus
Artemia_franciscana     Arthropoda      Branchiopoda    Anostraca       Artemiidae      Artemia
Tubulanus_polymorphus   Nemertea        Palaeonemertea  Tubulaniformes  Tubulanidae     Tubulanus
Cristatella_mucedo      Bryozoa Phylactolaemata         Cristatellidae  Cristatella
Macrostomum_hystrix     Platyhelminthes Rhabditophora   Macrostomida    Macrostomidae   Macrostomum
Tachypleus_tridentatus  Arthropoda      Merostomata     Xiphosura       Limulidae       Tachypleus
Sepiola_atlantica       Mollusca        Cephalopoda     Sepiida Sepiolidae      Sepiola
Mermis_nigrescens       Nematoda        Enoplea Mermithida      Mermithidae     Mermis
Schistocephalus_solidus Platyhelminthes Cestoda Diphyllobothriidea      Diphyllobothriidae      Schistocephalus
Lingula_anatina Brachiopoda     Lingulata       Lingulida       Lingulidae      Lingula
Ophiocomidae    Echinodermata   Ophiuroidea     Amphilepidida   Ophiocomidae    
Taenia_hydatigena       Platyhelminthes Cestoda Cyclophyllidea  Taeniidae       Taenia
Tectura_virginea        Mollusca        Gastropoda              Lottiidae       Tectura
Lineus_longissimus      Nemertea        Pilidiophora    Heteronemertea  Lineidae        Lineus
Ramazzottius_varieornatus       Tardigrada      Eutardigrada    Parachela       Ramazzottiidae  Ramazzottius
Membranipora_membranacea        Bryozoa Gymnolaemata    Cheilostomatida Membraniporidae Membranipora
Pseudobiceros_splendidus        Platyhelminthes Rhabditophora   Polycladida     Pseudocerotidae Pseudobiceros
Norana_najaformis       Annelida        Clitellata      Crassiclitellata        Hormogastridae  Norana
Euwallacea_fornicatus   Arthropoda      Insecta Coleoptera      Curculionidae   Euwallacea
